id,address,city,state,zip,country,county,region
4207081,579 Snake Lane,Kinzers,Pennsylvania,17535,USA,Lancaster,
1203956,Box 56,McDavid,Florida,32568,USA,Escambia,
3711589,512 U.S. 70,Hillsborough,North Carolina,27278,USA,Orange,
23561115,,,,,,,
23211130,,,,,,,
2906687,3205 North Twyman Road,Independence,Missouri,64058,USA,Jackson,
616302,1636 S Songish St,Anaheim,California,92804,USA,Orange,
23277269,,,,,,,
616114,6745 South Washington Avenue,Whittier,California,90601,USA,Los Angeles,
11600144,1012 N 18th St,Boise,Idaho,83702,USA,Ada,
5506004,6400 Enterprise Ln,Madison,Wisconsin,53719,USA,Dane,
3200601,5730 Range Rd,Las Vegas,Nevada,89115,USA,Clark,
403709,17901 West Lundburg St,Surprise,Arizona,85388,USA,Maricopa,
23032059,,,,,,,
23671364,11 Mediterranean Dr,Benowa,,,Australia,,
21423824,,,,,,,
626696,27912 Adams Avenue,Menifee,California,92585,USA,Riverside,
2704352,P.O. Box 458,Adrian,Minnesota,56110,USA,Nobles,
24708931,Jeju educityro,Seoguipo,,,Korea (Republic),,
616268,1267 Bering Street,Placentia,California,92870,USA,Orange,
23739915,295 rue st-joseph,lévis,,G6V1G3,Canada,,
23239487,,,,,Japan,,
1203778,650 E Airport Blvd,Sanford,Florida,32773,USA,Seminole,
4207060,1912 South 16th Street,Philadelphia,Pennsylvania,19145,USA,Philadelphia,
4101986,9100 SW 135th Ave,Beaverton,Oregon,97008,USA,Washington,
5105631,3294 Britton Road,Henrico,Virginia,23231,USA,Henrico,
616716,5321 Grey Eagle Drive,Anderson,California,96007,USA,Shasta,
3502054,4001 Osuna Rd NE,Albuquerque,New Mexico,87109,USA,Bernalillo,
4819708,2001 61st Street,Galveston,Texas,77551,USA,Galveston,
4819083,618 Whirlwind Alley,Floydada,Texas,79235,USA,Floyd,
1302934,230 Cherokee Street,Thomasville,Georgia,31792,USA,Thomas,
10601266,2460 Clay Bank Road,Fairfield,California,94533,USA,Solano,
625993,6022 West Pico Boulevard,Los Angeles,California,90035,USA,Los Angeles,
22877080,,,,,,,
24749065,COURT AVE,JEFFERSONVLLE,Indiana,47130,USA,,
5103181,933 Reservoir Street,Harrisonburg,Virginia,22801,USA,Harrisonburg city,
3501094,1800 South Locust,Las Cruces,New Mexico,88001,USA,Dona Ana,
4809957,1400 Farm to Market Road 3452,Palestine,Texas,75803,USA,Anderson,
3911686,66 N. Mulberry St.,Wilmington,Ohio,45177,USA,Clinton,
3501216,1070 Green Acres Lane,Bosque Farms,New Mexico,87068,USA,Valencia,
1802190,1300 Academy Rd,Culver,Indiana,46511,USA,Marshall,
2001737,910 Oak Street,Valley Falls,Kansas,66088,USA,Jefferson,
1803399,1115 South 400 East,LaGrange,Indiana,46761,USA,LaGrange,
4811999,107 W Cates,Bridgeport,Texas,76426,USA,Wise,
11300228,1807 Memorial Dr Se,Atlanta,Georgia,30317,USA,Dekalb,
22430699,,,,,,,
13100839,10625 Calhoun Rd,Omaha,Nebraska,68112,USA,Douglas,
626849,3411 12th Avenue,Los Angeles,California,90018,USA,Los Angeles,
23807609,,,,,,,
23425504,,,,,,,
609128,12901 South Lewis Street,Garden Grove,California,92840,USA,Orange,
3606150,59 W End Ave,Brooklyn,New York,11235,USA,Kings (Brooklyn),
1712636,46 East 34th Street,Steger,Illinois,60475,USA,Will,
21089412,,,,,,,
626496,4134 Manchester Ave,Encinitas,California,92024,USA,San Diego,
4400908,317 Market Street,Warren,Rhode Island,2885,USA,Bristol,
23237929,,,,,,,
405763,2855 West Master Pieces Dr,Tucson,Arizona,85741,USA,Pima,
2706832,2120 Twin Bluff Road,Red Wing,Minnesota,55066,USA,Goodhue,
1302984,P.O. Box 1628,Hinesville,Georgia,31310,USA,Liberty,
24713738,2400 Reach Road,Williamsport,Pennsylvania,17701,USA,,
